4.4000e+02	4.7741e-04	8.4075e-04	4.5216e-04	8.3465e-04	8.9295e-04	1.5474e-04	1.6850e+03	4.1049e+01	3.9700e+02	1.9925e+01	3.9295e-01	2.6765e-02	1.0444e-03	1.9560e-04
4.4200e+02	6.4401e-04	8.0635e-04	5.9260e-04	8.0015e-04	8.8576e-04	1.3818e-04	1.9950e+03	4.4665e+01	4.4900e+02	2.1190e+01	3.9264e-01	1.4916e-02	NaN	NaN
4.4400e+02	8.6780e-04	7.5479e-04	8.3673e-04	7.4931e-04	6.6077e-04	1.1278e-04	2.1890e+03	4.6787e+01	5.0300e+02	2.2428e+01	4.1098e-01	1.5473e-02	NaN	NaN
4.4600e+02	1.9410e-03	8.3176e-04	1.8720e-03	8.2497e-04	1.0730e-03	1.6110e-04	1.9650e+03	4.4328e+01	4.0700e+02	2.0174e+01	3.9063e-01	1.9181e-02	NaN	NaN
4.4800e+02	1.0348e-03	7.8138e-04	9.4106e-04	7.7465e-04	7.3715e-04	1.2483e-04	2.0210e+03	4.4956e+01	4.4500e+02	2.1095e+01	4.0209e-01	1.4686e-02	NaN	NaN
4.5000e+02	4.5746e-04	7.5283e-04	3.8232e-04	7.4667e-04	6.4521e-04	1.1228e-04	2.1790e+03	4.6680e+01	5.0100e+02	2.2383e+01	4.0352e-01	1.5460e-02	NaN	NaN
4.5200e+02	1.7539e-03	7.7984e-04	1.6405e-03	7.7278e-04	8.5742e-04	1.2832e-04	2.2760e+03	4.7707e+01	5.0700e+02	2.2517e+01	3.9493e-01	1.6172e-02	NaN	NaN
4.5400e+02	1.7616e-03	7.3749e-04	1.6410e-03	7.3078e-04	4.5992e-04	8.9445e-05	2.5700e+03	5.0695e+01	6.4100e+02	2.5318e+01	4.0497e-01	1.4908e-02	NaN	NaN
4.5600e+02	1.7699e-03	7.4513e-04	1.6452e-03	7.3834e-04	6.7523e-04	1.0538e-04	2.8490e+03	5.3376e+01	6.4900e+02	2.5475e+01	3.9070e-01	1.6139e-02	NaN	NaN
4.5800e+02	2.8840e-03	7.5704e-04	2.7676e-03	7.5021e-04	8.8330e-04	1.1595e-04	2.9080e+03	5.3926e+01	6.7900e+02	2.6058e+01	3.9101e-01	1.5713e-02	NaN	NaN
4.6000e+02	2.5567e-03	7.4209e-04	2.4551e-03	7.3555e-04	9.2896e-04	1.1941e-04	3.1880e+03	5.6462e+01	7.0400e+02	2.6533e+01	3.8829e-01	1.8158e-02	NaN	NaN
4.6200e+02	2.6542e-03	7.1238e-04	2.4925e-03	7.0503e-04	1.2175e-03	1.3296e-04	3.2220e+03	5.6763e+01	7.0900e+02	2.6627e+01	4.0319e-01	1.7494e-02	NaN	NaN
4.6400e+02	3.3213e-03	7.3237e-04	3.2122e-03	7.2568e-04	1.2584e-03	1.3801e-04	3.1770e+03	5.6365e+01	6.9200e+02	2.6306e+01	3.9899e-01	1.8096e-02	NaN	NaN
4.6600e+02	3.9366e-03	7.3543e-04	3.7646e-03	7.2731e-04	1.1486e-03	1.2545e-04	3.1890e+03	5.6471e+01	7.6700e+02	2.7695e+01	4.0279e-01	1.8057e-02	NaN	NaN
4.6800e+02	-2.0541e-02	5.6849e-04	-2.0386e-02	5.6467e-04	-1.3883e-04	4.6848e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.8370e-01	0.0000e+00	NaN	NaN
4.7000e+02	3.0935e-03	7.1032e-04	2.8691e-03	7.0202e-04	1.6638e-03	1.5473e-04	3.3820e+03	5.8155e+01	7.3500e+02	2.7111e+01	3.9726e-01	1.5771e-02	NaN	NaN
4.7200e+02	4.0986e-03	7.3774e-04	3.8121e-03	7.2726e-04	1.8132e-03	1.6497e-04	3.3270e+03	5.7680e+01	7.6100e+02	2.7586e+01	3.9423e-01	1.7351e-02	NaN	NaN
4.7400e+02	5.2852e-03	7.3541e-04	4.9661e-03	7.2404e-04	2.3783e-03	1.8609e-04	3.5610e+03	5.9674e+01	8.5400e+02	2.9223e+01	4.0278e-01	1.6795e-02	NaN	NaN
4.7600e+02	6.6016e-03	7.6603e-04	6.1680e-03	7.5093e-04	3.3153e-03	2.3871e-04	3.5930e+03	5.9942e+01	8.5100e+02	2.9172e+01	4.0228e-01	1.7072e-02	NaN	NaN
4.7800e+02	6.9176e-03	7.8117e-04	6.4492e-03	7.6438e-04	3.5294e-03	2.5333e-04	3.5530e+03	5.9607e+01	8.6200e+02	2.9360e+01	4.0027e-01	1.7689e-02	NaN	NaN
4.8000e+02	5.3715e-03	7.3758e-04	4.9240e-03	7.2209e-04	3.0691e-03	2.3476e-04	3.6310e+03	6.0258e+01	8.2600e+02	2.8740e+01	4.0164e-01	1.8772e-02	NaN	NaN
4.8200e+02	5.9007e-03	7.5214e-04	5.3919e-03	7.3577e-04	3.3528e-03	2.4478e-04	3.5590e+03	5.9657e+01	8.0900e+02	2.8443e+01	3.9564e-01	1.6780e-02	NaN	NaN
