4.7144e-02	6.9949e-02	6.1998e-02	1.7356e-02	5.1865e-03	9.9660e+03	9.9830e+01	2.4020e+03	4.9010e+01	9.3265e-02	1.6213e-02	1.0468e-03	1.9065e-04
1.1248e-01	1.6058e-01	6.3153e-02	3.1534e-02	5.7773e-03	9.6710e+03	9.8341e+01	2.4010e+03	4.9000e+01	1.1248e-01	4.5325e-03	NaN	NaN
1.3465e-01	1.6170e-01	6.2929e-02	5.0505e-02	6.5553e-03	9.8070e+03	9.9030e+01	2.3530e+03	4.8508e+01	1.3465e-01	5.1239e-03	NaN	NaN
1.6200e-01	2.7219e-01	6.3231e-02	6.5114e-02	6.8553e-03	1.0110e+04	1.0055e+02	2.5520e+03	5.0517e+01	1.6200e-01	6.3234e-03	NaN	NaN
1.8396e-01	4.0602e-01	6.5161e-02	1.0849e-01	8.4834e-03	9.5880e+03	9.7918e+01	2.3800e+03	4.8785e+01	1.8396e-01	7.3582e-03	NaN	NaN
2.2717e-01	5.0251e-01	6.5641e-02	1.7458e-01	1.0542e-02	9.7250e+03	9.8615e+01	2.3280e+03	4.8249e+01	2.2717e-01	9.4264e-03	NaN	NaN
2.7813e-01	7.0724e-01	6.6970e-02	2.5665e-01	1.2492e-02	9.8520e+03	9.9257e+01	2.4420e+03	4.9417e+01	2.7813e-01	1.1370e-02	NaN	NaN
4.0078e-01	1.1537e+00	7.0051e-02	6.0014e-01	2.0801e-02	1.0047e+04	1.0023e+02	2.3910e+03	4.8898e+01	4.0078e-01	1.7357e-02	NaN	NaN
4.9252e-01	1.6719e+00	7.6930e-02	9.6731e-01	3.0342e-02	9.0230e+03	9.4989e+01	2.1640e+03	4.6519e+01	4.9252e-01	2.0730e-02	NaN	NaN
6.0622e-01	2.2080e+00	8.3383e-02	1.4010e+00	4.0694e-02	8.5220e+03	9.2315e+01	2.0970e+03	4.5793e+01	6.0622e-01	2.4074e-02	NaN	NaN
7.0225e-01	2.5390e+00	8.3139e-02	1.6635e+00	4.4838e-02	9.4790e+03	9.7360e+01	2.2650e+03	4.7592e+01	7.0225e-01	2.7988e-02	NaN	NaN
8.0069e-01	2.9286e+00	8.5613e-02	1.9640e+00	5.0017e-02	9.7710e+03	9.8848e+01	2.3820e+03	4.8806e+01	8.0069e-01	3.1359e-02	NaN	NaN
9.0741e-01	3.2707e+00	8.9448e-02	2.3433e+00	6.0027e-02	9.5370e+03	9.7658e+01	2.2170e+03	4.7085e+01	9.0741e-01	3.6541e-02	NaN	NaN
