LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 583.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.21992E+5	6.22258E+5	-2.66000E+2
5.50494E+2	6.17643E+5	6.17306E+5	3.37000E+2
5.50988E+2	6.16126E+5	6.16101E+5	2.50000E+1
5.51482E+2	6.15324E+5	6.15012E+5	3.12000E+2
5.51976E+2	6.16423E+5	6.16456E+5	-3.30000E+1
5.52470E+2	6.16229E+5	6.15783E+5	4.46000E+2
5.52963E+2	6.15465E+5	6.15442E+5	2.30000E+1
5.53457E+2	6.14669E+5	6.15060E+5	-3.91000E+2
5.53951E+2	6.14701E+5	6.14612E+5	8.90000E+1
5.54445E+2	6.14921E+5	6.14934E+5	-1.30000E+1
5.54939E+2	6.14077E+5	6.14158E+5	-8.10000E+1
5.55433E+2	6.14247E+5	6.14256E+5	-9.00000E+0
5.55926E+2	6.13698E+5	6.13957E+5	-2.59000E+2
5.56420E+2	6.13842E+5	6.13905E+5	-6.30000E+1
5.56914E+2	6.14134E+5	6.14303E+5	-1.69000E+2
5.57407E+2	6.15014E+5	6.14840E+5	1.74000E+2
5.57901E+2	6.14834E+5	6.14920E+5	-8.60000E+1
5.58394E+2	6.14716E+5	6.14645E+5	7.10000E+1
5.58888E+2	6.14425E+5	6.14231E+5	1.94000E+2
5.59381E+2	6.14040E+5	6.14282E+5	-2.42000E+2
5.59875E+2	6.13778E+5	6.13758E+5	2.00000E+1
5.60368E+2	6.13710E+5	6.13336E+5	3.74000E+2
5.60862E+2	6.13077E+5	6.12983E+5	9.40000E+1
5.61355E+2	6.12728E+5	6.12879E+5	-1.51000E+2
5.61849E+2	6.12498E+5	6.12651E+5	-1.53000E+2
5.62342E+2	6.12292E+5	6.12140E+5	1.52000E+2
5.62835E+2	6.12346E+5	6.12275E+5	7.10000E+1
5.63329E+2	6.12133E+5	6.11895E+5	2.38000E+2
5.63822E+2	6.12095E+5	6.12383E+5	-2.88000E+2
5.64315E+2	6.12265E+5	6.12370E+5	-1.05000E+2
5.64809E+2	6.12292E+5	6.12052E+5	2.40000E+2
5.65302E+2	6.12292E+5	6.12618E+5	-3.26000E+2
5.65795E+2	6.12059E+5	6.11964E+5	9.50000E+1
5.66288E+2	6.12602E+5	6.12504E+5	9.80000E+1
5.66781E+2	6.12461E+5	6.12421E+5	4.00000E+1
5.67274E+2	6.12481E+5	6.12448E+5	3.30000E+1
5.67767E+2	6.12738E+5	6.12617E+5	1.21000E+2
5.68260E+2	6.12560E+5	6.12963E+5	-4.03000E+2
5.68753E+2	6.12813E+5	6.12877E+5	-6.40000E+1
