LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 588.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22157E+5	6.22284E+5	-1.27000E+2
5.50494E+2	6.17597E+5	6.17808E+5	-2.11000E+2
5.50988E+2	6.16223E+5	6.16516E+5	-2.93000E+2
5.51482E+2	6.15603E+5	6.15535E+5	6.80000E+1
5.51976E+2	6.16270E+5	6.16497E+5	-2.27000E+2
5.52470E+2	6.16233E+5	6.16206E+5	2.70000E+1
5.52963E+2	6.15538E+5	6.15499E+5	3.90000E+1
5.53457E+2	6.15172E+5	6.14880E+5	2.92000E+2
5.53951E+2	6.14677E+5	6.14715E+5	-3.80000E+1
5.54445E+2	6.14968E+5	6.15099E+5	-1.31000E+2
5.54939E+2	6.14159E+5	6.14160E+5	-1.00000E+0
5.55433E+2	6.14413E+5	6.14395E+5	1.80000E+1
5.55926E+2	6.14121E+5	6.14030E+5	9.10000E+1
5.56420E+2	6.13966E+5	6.14060E+5	-9.40000E+1
5.56914E+2	6.14569E+5	6.14358E+5	2.11000E+2
5.57407E+2	6.15035E+5	6.15022E+5	1.30000E+1
5.57901E+2	6.15092E+5	6.14962E+5	1.30000E+2
5.58394E+2	6.15004E+5	6.14555E+5	4.49000E+2
5.58888E+2	6.14391E+5	6.14410E+5	-1.90000E+1
5.59381E+2	6.14182E+5	6.14370E+5	-1.88000E+2
5.59875E+2	6.13594E+5	6.13664E+5	-7.00000E+1
5.60368E+2	6.13902E+5	6.13580E+5	3.22000E+2
5.60862E+2	6.12971E+5	6.13157E+5	-1.86000E+2
5.61355E+2	6.13012E+5	6.12757E+5	2.55000E+2
5.61849E+2	6.12753E+5	6.12705E+5	4.80000E+1
5.62342E+2	6.12320E+5	6.12356E+5	-3.60000E+1
5.62835E+2	6.12141E+5	6.12449E+5	-3.08000E+2
5.63329E+2	6.12261E+5	6.12476E+5	-2.15000E+2
5.63822E+2	6.12238E+5	6.12335E+5	-9.70000E+1
5.64315E+2	6.12395E+5	6.12303E+5	9.20000E+1
5.64809E+2	6.12238E+5	6.12210E+5	2.80000E+1
5.65302E+2	6.12306E+5	6.12373E+5	-6.70000E+1
5.65795E+2	6.12275E+5	6.12267E+5	8.00000E+0
5.66288E+2	6.12514E+5	6.12379E+5	1.35000E+2
5.66781E+2	6.12733E+5	6.12458E+5	2.75000E+2
5.67274E+2	6.12919E+5	6.12617E+5	3.02000E+2
5.67767E+2	6.12625E+5	6.12659E+5	-3.40000E+1
5.68260E+2	6.12790E+5	6.12548E+5	2.42000E+2
5.68753E+2	6.12917E+5	6.12793E+5	1.24000E+2
