LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 590.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22283E+5	6.22100E+5	1.83000E+2
5.50494E+2	6.17729E+5	6.18071E+5	-3.42000E+2
5.50988E+2	6.16450E+5	6.16425E+5	2.50000E+1
5.51482E+2	6.15545E+5	6.15491E+5	5.40000E+1
5.51976E+2	6.16569E+5	6.16491E+5	7.80000E+1
5.52470E+2	6.16046E+5	6.16252E+5	-2.06000E+2
5.52963E+2	6.15623E+5	6.15576E+5	4.70000E+1
5.53457E+2	6.14798E+5	6.15254E+5	-4.56000E+2
5.53951E+2	6.14919E+5	6.14459E+5	4.60000E+2
5.54445E+2	6.15130E+5	6.14865E+5	2.65000E+2
5.54939E+2	6.14344E+5	6.14354E+5	-1.00000E+1
5.55433E+2	6.14255E+5	6.14163E+5	9.20000E+1
5.55926E+2	6.13993E+5	6.13960E+5	3.30000E+1
5.56420E+2	6.13914E+5	6.13920E+5	-6.00000E+0
5.56914E+2	6.14458E+5	6.15381E+5	-9.23000E+2
5.57407E+2	6.14833E+5	6.14808E+5	2.50000E+1
5.57901E+2	6.14925E+5	6.14991E+5	-6.60000E+1
5.58394E+2	6.14834E+5	6.14705E+5	1.29000E+2
5.58888E+2	6.14587E+5	6.14171E+5	4.16000E+2
5.59381E+2	6.14168E+5	6.14021E+5	1.47000E+2
5.59875E+2	6.13569E+5	6.13801E+5	-2.32000E+2
5.60368E+2	6.13495E+5	6.13492E+5	3.00000E+0
5.60862E+2	6.12902E+5	6.13097E+5	-1.95000E+2
5.61355E+2	6.12772E+5	6.12901E+5	-1.29000E+2
5.61849E+2	6.12749E+5	6.12750E+5	-1.00000E+0
5.62342E+2	6.12564E+5	6.12292E+5	2.72000E+2
5.62835E+2	6.12259E+5	6.12335E+5	-7.60000E+1
5.63329E+2	6.12375E+5	6.12113E+5	2.62000E+2
5.63822E+2	6.12327E+5	6.12445E+5	-1.18000E+2
5.64315E+2	6.12492E+5	6.12367E+5	1.25000E+2
5.64809E+2	6.12144E+5	6.12288E+5	-1.44000E+2
5.65302E+2	6.12266E+5	6.12176E+5	9.00000E+1
5.65795E+2	6.12228E+5	6.12253E+5	-2.50000E+1
5.66288E+2	6.12627E+5	6.12644E+5	-1.70000E+1
5.66781E+2	6.12561E+5	6.12820E+5	-2.59000E+2
5.67274E+2	6.12514E+5	6.12592E+5	-7.80000E+1
5.67767E+2	6.12828E+5	6.12896E+5	-6.80000E+1
5.68260E+2	6.12553E+5	6.12688E+5	-1.35000E+2
5.68753E+2	6.12849E+5	6.12781E+5	6.80000E+1
