LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 564.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.23333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22480E+5	6.22548E+5	-6.80000E+1
5.50494E+2	6.17672E+5	6.17728E+5	-5.60000E+1
5.50988E+2	6.16748E+5	6.16391E+5	3.57000E+2
5.51482E+2	6.15708E+5	6.15529E+5	1.79000E+2
5.51976E+2	6.16944E+5	6.17141E+5	-1.97000E+2
5.52470E+2	6.16465E+5	6.16343E+5	1.22000E+2
5.52963E+2	6.15848E+5	6.15668E+5	1.80000E+2
5.53457E+2	6.15125E+5	6.15159E+5	-3.40000E+1
5.53951E+2	6.14866E+5	6.15095E+5	-2.29000E+2
5.54445E+2	6.15283E+5	6.15184E+5	9.90000E+1
5.54939E+2	6.14790E+5	6.14695E+5	9.50000E+1
5.55433E+2	6.14531E+5	6.14564E+5	-3.30000E+1
5.55926E+2	6.14404E+5	6.14202E+5	2.02000E+2
5.56420E+2	6.14379E+5	6.14055E+5	3.24000E+2
5.56914E+2	6.14824E+5	6.15031E+5	-2.07000E+2
5.57407E+2	6.15183E+5	6.14998E+5	1.85000E+2
5.57901E+2	6.15148E+5	6.15212E+5	-6.40000E+1
5.58394E+2	6.15120E+5	6.14893E+5	2.27000E+2
5.58888E+2	6.14594E+5	6.14654E+5	-6.00000E+1
5.59381E+2	6.14488E+5	6.14459E+5	2.90000E+1
5.59875E+2	6.13921E+5	6.14016E+5	-9.50000E+1
5.60368E+2	6.13731E+5	6.13940E+5	-2.09000E+2
5.60862E+2	6.13259E+5	6.13280E+5	-2.10000E+1
5.61355E+2	6.13103E+5	6.13495E+5	-3.92000E+2
5.61849E+2	6.12967E+5	6.12938E+5	2.90000E+1
5.62342E+2	6.12595E+5	6.12535E+5	6.00000E+1
5.62835E+2	6.12572E+5	6.12483E+5	8.90000E+1
5.63329E+2	6.12265E+5	6.12555E+5	-2.90000E+2
5.63822E+2	6.12298E+5	6.12531E+5	-2.33000E+2
5.64315E+2	6.12599E+5	6.12637E+5	-3.80000E+1
5.64809E+2	6.12657E+5	6.12788E+5	-1.31000E+2
5.65302E+2	6.12843E+5	6.12527E+5	3.16000E+2
5.65795E+2	6.12881E+5	6.12445E+5	4.36000E+2
5.66288E+2	6.12820E+5	6.12857E+5	-3.70000E+1
5.66781E+2	6.12940E+5	6.12701E+5	2.39000E+2
5.67274E+2	6.12797E+5	6.12893E+5	-9.60000E+1
5.67767E+2	6.13041E+5	6.13160E+5	-1.19000E+2
5.68260E+2	6.13011E+5	6.12983E+5	2.80000E+1
5.68753E+2	6.13304E+5	6.12907E+5	3.97000E+2
