LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 558.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.3
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22759E+5	6.22419E+5	3.40000E+2
5.50494E+2	6.17772E+5	6.17896E+5	-1.24000E+2
5.50988E+2	6.16897E+5	6.16687E+5	2.10000E+2
5.51482E+2	6.15931E+5	6.15842E+5	8.90000E+1
5.51976E+2	6.16710E+5	6.16919E+5	-2.09000E+2
5.52470E+2	6.16689E+5	6.16489E+5	2.00000E+2
5.52963E+2	6.15593E+5	6.15719E+5	-1.26000E+2
5.53457E+2	6.15352E+5	6.15512E+5	-1.60000E+2
5.53951E+2	6.15131E+5	6.15038E+5	9.30000E+1
5.54445E+2	6.15165E+5	6.15002E+5	1.63000E+2
5.54939E+2	6.14332E+5	6.14672E+5	-3.40000E+2
5.55433E+2	6.14794E+5	6.14623E+5	1.71000E+2
5.55926E+2	6.14165E+5	6.14171E+5	-6.00000E+0
5.56420E+2	6.14537E+5	6.14305E+5	2.32000E+2
5.56914E+2	6.14791E+5	6.14608E+5	1.83000E+2
5.57407E+2	6.15164E+5	6.15409E+5	-2.45000E+2
5.57901E+2	6.15245E+5	6.15187E+5	5.80000E+1
5.58394E+2	6.15103E+5	6.15245E+5	-1.42000E+2
5.58888E+2	6.15006E+5	6.14828E+5	1.78000E+2
5.59381E+2	6.14981E+5	6.14656E+5	3.25000E+2
5.59875E+2	6.13871E+5	6.13915E+5	-4.40000E+1
5.60368E+2	6.13895E+5	6.14157E+5	-2.62000E+2
5.60862E+2	6.13576E+5	6.13195E+5	3.81000E+2
5.61355E+2	6.13543E+5	6.13334E+5	2.09000E+2
5.61849E+2	6.13123E+5	6.13240E+5	-1.17000E+2
5.62342E+2	6.12991E+5	6.12917E+5	7.40000E+1
5.62835E+2	6.12947E+5	6.12806E+5	1.41000E+2
5.63329E+2	6.12548E+5	6.12559E+5	-1.10000E+1
5.63822E+2	6.12579E+5	6.12505E+5	7.40000E+1
5.64315E+2	6.12628E+5	6.12620E+5	8.00000E+0
5.64809E+2	6.12771E+5	6.12584E+5	1.87000E+2
5.65302E+2	6.12844E+5	6.12519E+5	3.25000E+2
5.65795E+2	6.12691E+5	6.12555E+5	1.36000E+2
5.66288E+2	6.12791E+5	6.12874E+5	-8.30000E+1
5.66781E+2	6.12924E+5	6.13066E+5	-1.42000E+2
5.67274E+2	6.12765E+5	6.12818E+5	-5.30000E+1
5.67767E+2	6.13079E+5	6.13148E+5	-6.90000E+1
5.68260E+2	6.13056E+5	6.13189E+5	-1.33000E+2
5.68753E+2	6.13151E+5	6.13231E+5	-8.00000E+1
