LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 554.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22487E+5	6.22859E+5	-3.72000E+2
5.50494E+2	6.17766E+5	6.17919E+5	-1.53000E+2
5.50988E+2	6.16568E+5	6.16466E+5	1.02000E+2
5.51482E+2	6.15728E+5	6.15639E+5	8.90000E+1
5.51976E+2	6.16598E+5	6.16867E+5	-2.69000E+2
5.52470E+2	6.16431E+5	6.16329E+5	1.02000E+2
5.52963E+2	6.15691E+5	6.15717E+5	-2.60000E+1
5.53457E+2	6.15292E+5	6.15325E+5	-3.30000E+1
5.53951E+2	6.14834E+5	6.15067E+5	-2.33000E+2
5.54445E+2	6.15196E+5	6.15388E+5	-1.92000E+2
5.54939E+2	6.14501E+5	6.14441E+5	6.00000E+1
5.55433E+2	6.14743E+5	6.14721E+5	2.20000E+1
5.55926E+2	6.14338E+5	6.14348E+5	-1.00000E+1
5.56420E+2	6.14404E+5	6.14567E+5	-1.63000E+2
5.56914E+2	6.14770E+5	6.14644E+5	1.26000E+2
5.57407E+2	6.15192E+5	6.15371E+5	-1.79000E+2
5.57901E+2	6.15067E+5	6.15323E+5	-2.56000E+2
5.58394E+2	6.15384E+5	6.15135E+5	2.49000E+2
5.58888E+2	6.14620E+5	6.14811E+5	-1.91000E+2
5.59381E+2	6.14517E+5	6.14676E+5	-1.59000E+2
5.59875E+2	6.13819E+5	6.14028E+5	-2.09000E+2
5.60368E+2	6.13979E+5	6.13706E+5	2.73000E+2
5.60862E+2	6.13465E+5	6.13494E+5	-2.90000E+1
5.61355E+2	6.13396E+5	6.13325E+5	7.10000E+1
5.61849E+2	6.12973E+5	6.13280E+5	-3.07000E+2
5.62342E+2	6.12621E+5	6.12722E+5	-1.01000E+2
5.62835E+2	6.12942E+5	6.12787E+5	1.55000E+2
5.63329E+2	6.12631E+5	6.12263E+5	3.68000E+2
5.63822E+2	6.12875E+5	6.12418E+5	4.57000E+2
5.64315E+2	6.12496E+5	6.12779E+5	-2.83000E+2
5.64809E+2	6.12352E+5	6.12491E+5	-1.39000E+2
5.65302E+2	6.12806E+5	6.12931E+5	-1.25000E+2
5.65795E+2	6.12889E+5	6.13812E+5	-9.23000E+2
5.66288E+2	6.12856E+5	6.13774E+5	-9.18000E+2
5.66781E+2	6.12798E+5	6.12996E+5	-1.98000E+2
5.67274E+2	6.12777E+5	6.12931E+5	-1.54000E+2
5.67767E+2	6.13145E+5	6.13198E+5	-5.30000E+1
5.68260E+2	6.12931E+5	6.12957E+5	-2.60000E+1
5.68753E+2	6.13202E+5	6.13277E+5	-7.50000E+1
