LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 590.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22103E+5	6.22078E+5	2.50000E+1
5.50494E+2	6.17628E+5	6.17493E+5	1.35000E+2
5.50988E+2	6.16143E+5	6.16064E+5	7.90000E+1
5.51482E+2	6.15089E+5	6.15262E+5	-1.73000E+2
5.51976E+2	6.16221E+5	6.16222E+5	-1.00000E+0
5.52470E+2	6.15966E+5	6.15953E+5	1.30000E+1
5.52963E+2	6.15373E+5	6.15526E+5	-1.53000E+2
5.53457E+2	6.14689E+5	6.14687E+5	2.00000E+0
5.53951E+2	6.14613E+5	6.14569E+5	4.40000E+1
5.54445E+2	6.14758E+5	6.14501E+5	2.57000E+2
5.54939E+2	6.14240E+5	6.14143E+5	9.70000E+1
5.55433E+2	6.14323E+5	6.14062E+5	2.61000E+2
5.55926E+2	6.13934E+5	6.13713E+5	2.21000E+2
5.56420E+2	6.13926E+5	6.13546E+5	3.80000E+2
5.56914E+2	6.14269E+5	6.14307E+5	-3.80000E+1
5.57407E+2	6.14802E+5	6.14526E+5	2.76000E+2
5.57901E+2	6.15094E+5	6.14999E+5	9.50000E+1
5.58394E+2	6.14537E+5	6.14638E+5	-1.01000E+2
5.58888E+2	6.14322E+5	6.14307E+5	1.50000E+1
5.59381E+2	6.14343E+5	6.13933E+5	4.10000E+2
5.59875E+2	6.13320E+5	6.13675E+5	-3.55000E+2
5.60368E+2	6.13537E+5	6.13379E+5	1.58000E+2
5.60862E+2	6.12851E+5	6.12868E+5	-1.70000E+1
5.61355E+2	6.12565E+5	6.12587E+5	-2.20000E+1
5.61849E+2	6.12480E+5	6.12578E+5	-9.80000E+1
5.62342E+2	6.12269E+5	6.12311E+5	-4.20000E+1
5.62835E+2	6.12204E+5	6.12367E+5	-1.63000E+2
5.63329E+2	6.11893E+5	6.12143E+5	-2.50000E+2
5.63822E+2	6.12147E+5	6.12174E+5	-2.70000E+1
5.64315E+2	6.12097E+5	6.12304E+5	-2.07000E+2
5.64809E+2	6.12121E+5	6.12183E+5	-6.20000E+1
5.65302E+2	6.12241E+5	6.11984E+5	2.57000E+2
5.65795E+2	6.12293E+5	6.12168E+5	1.25000E+2
5.66288E+2	6.12193E+5	6.12247E+5	-5.40000E+1
5.66781E+2	6.12503E+5	6.12661E+5	-1.58000E+2
5.67274E+2	6.12468E+5	6.12216E+5	2.52000E+2
5.67767E+2	6.12386E+5	6.12695E+5	-3.09000E+2
5.68260E+2	6.12460E+5	6.12334E+5	1.26000E+2
5.68753E+2	6.12708E+5	6.12765E+5	-5.70000E+1
