LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 562.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22384E+5	6.22417E+5	-3.30000E+1
5.50494E+2	6.17673E+5	6.17550E+5	1.23000E+2
5.50988E+2	6.16331E+5	6.16158E+5	1.73000E+2
5.51482E+2	6.15374E+5	6.15334E+5	4.00000E+1
5.51976E+2	6.16489E+5	6.16681E+5	-1.92000E+2
5.52470E+2	6.16280E+5	6.16148E+5	1.32000E+2
5.52963E+2	6.15572E+5	6.15517E+5	5.50000E+1
5.53457E+2	6.14979E+5	6.14926E+5	5.30000E+1
5.53951E+2	6.14839E+5	6.14865E+5	-2.60000E+1
5.54445E+2	6.14944E+5	6.14929E+5	1.50000E+1
5.54939E+2	6.14381E+5	6.14090E+5	2.91000E+2
5.55433E+2	6.14454E+5	6.14375E+5	7.90000E+1
5.55926E+2	6.14073E+5	6.14000E+5	7.30000E+1
5.56420E+2	6.14212E+5	6.13985E+5	2.27000E+2
5.56914E+2	6.14460E+5	6.14376E+5	8.40000E+1
5.57407E+2	6.15190E+5	6.14922E+5	2.68000E+2
5.57901E+2	6.14841E+5	6.15285E+5	-4.44000E+2
5.58394E+2	6.14899E+5	6.14981E+5	-8.20000E+1
5.58888E+2	6.14693E+5	6.14798E+5	-1.05000E+2
5.59381E+2	6.14203E+5	6.14532E+5	-3.29000E+2
5.59875E+2	6.13922E+5	6.14002E+5	-8.00000E+1
5.60368E+2	6.13463E+5	6.13677E+5	-2.14000E+2
5.60862E+2	6.13077E+5	6.13286E+5	-2.09000E+2
5.61355E+2	6.12985E+5	6.13113E+5	-1.28000E+2
5.61849E+2	6.12817E+5	6.12822E+5	-5.00000E+0
5.62342E+2	6.12276E+5	6.12499E+5	-2.23000E+2
5.62835E+2	6.12494E+5	6.12512E+5	-1.80000E+1
5.63329E+2	6.12172E+5	6.12275E+5	-1.03000E+2
5.63822E+2	6.12484E+5	6.12184E+5	3.00000E+2
5.64315E+2	6.12309E+5	6.12595E+5	-2.86000E+2
5.64809E+2	6.12179E+5	6.12475E+5	-2.96000E+2
5.65302E+2	6.12686E+5	6.12548E+5	1.38000E+2
5.65795E+2	6.12740E+5	6.12523E+5	2.17000E+2
5.66288E+2	6.12421E+5	6.12671E+5	-2.50000E+2
5.66781E+2	6.12518E+5	6.12612E+5	-9.40000E+1
5.67274E+2	6.12884E+5	6.12865E+5	1.90000E+1
5.67767E+2	6.12903E+5	6.12800E+5	1.03000E+2
5.68260E+2	6.13010E+5	6.12609E+5	4.01000E+2
5.68753E+2	6.12877E+5	6.12713E+5	1.64000E+2
