LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 582.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.18333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22217E+5	6.22282E+5	-6.50000E+1
5.50494E+2	6.17721E+5	6.17768E+5	-4.70000E+1
5.50988E+2	6.16530E+5	6.16210E+5	3.20000E+2
5.51482E+2	6.15399E+5	6.15513E+5	-1.14000E+2
5.51976E+2	6.16581E+5	6.16372E+5	2.09000E+2
5.52470E+2	6.16064E+5	6.16052E+5	1.20000E+1
5.52963E+2	6.15491E+5	6.15535E+5	-4.40000E+1
5.53457E+2	6.15068E+5	6.14684E+5	3.84000E+2
5.53951E+2	6.14656E+5	6.14817E+5	-1.61000E+2
5.54445E+2	6.14782E+5	6.14964E+5	-1.82000E+2
5.54939E+2	6.14365E+5	6.14315E+5	5.00000E+1
5.55433E+2	6.14509E+5	6.14244E+5	2.65000E+2
5.55926E+2	6.13803E+5	6.14193E+5	-3.90000E+2
5.56420E+2	6.13712E+5	6.14067E+5	-3.55000E+2
5.56914E+2	6.14636E+5	6.14363E+5	2.73000E+2
5.57407E+2	6.15002E+5	6.15061E+5	-5.90000E+1
5.57901E+2	6.15199E+5	6.15016E+5	1.83000E+2
5.58394E+2	6.14948E+5	6.14957E+5	-9.00000E+0
5.58888E+2	6.14723E+5	6.14543E+5	1.80000E+2
5.59381E+2	6.14322E+5	6.14397E+5	-7.50000E+1
5.59875E+2	6.13833E+5	6.13781E+5	5.20000E+1
5.60368E+2	6.13683E+5	6.13669E+5	1.40000E+1
5.60862E+2	6.12909E+5	6.13080E+5	-1.71000E+2
5.61355E+2	6.12813E+5	6.12880E+5	-6.70000E+1
5.61849E+2	6.12644E+5	6.12559E+5	8.50000E+1
5.62342E+2	6.12185E+5	6.12567E+5	-3.82000E+2
5.62835E+2	6.12465E+5	6.12553E+5	-8.80000E+1
5.63329E+2	6.12081E+5	6.12254E+5	-1.73000E+2
5.63822E+2	6.12243E+5	6.12276E+5	-3.30000E+1
5.64315E+2	6.12110E+5	6.12351E+5	-2.41000E+2
5.64809E+2	6.12302E+5	6.12150E+5	1.52000E+2
5.65302E+2	6.12370E+5	6.12441E+5	-7.10000E+1
5.65795E+2	6.12228E+5	6.12491E+5	-2.63000E+2
5.66288E+2	6.12558E+5	6.12574E+5	-1.60000E+1
5.66781E+2	6.12698E+5	6.12384E+5	3.14000E+2
5.67274E+2	6.12397E+5	6.12802E+5	-4.05000E+2
5.67767E+2	6.12978E+5	6.12593E+5	3.85000E+2
5.68260E+2	6.12631E+5	6.12523E+5	1.08000E+2
5.68753E+2	6.13118E+5	6.12837E+5	2.81000E+2
