LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 575.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.18333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22820E+5	6.22701E+5	1.19000E+2
5.50494E+2	6.18022E+5	6.17915E+5	1.07000E+2
5.50988E+2	6.16800E+5	6.16519E+5	2.81000E+2
5.51482E+2	6.15849E+5	6.15738E+5	1.11000E+2
5.51976E+2	6.16918E+5	6.16614E+5	3.04000E+2
5.52470E+2	6.16360E+5	6.16460E+5	-1.00000E+2
5.52963E+2	6.15886E+5	6.15804E+5	8.20000E+1
5.53457E+2	6.15297E+5	6.15107E+5	1.90000E+2
5.53951E+2	6.14946E+5	6.14990E+5	-4.40000E+1
5.54445E+2	6.15334E+5	6.15325E+5	9.00000E+0
5.54939E+2	6.14815E+5	6.14915E+5	-1.00000E+2
5.55433E+2	6.14710E+5	6.14635E+5	7.50000E+1
5.55926E+2	6.14194E+5	6.14123E+5	7.10000E+1
5.56420E+2	6.14183E+5	6.14508E+5	-3.25000E+2
5.56914E+2	6.14743E+5	6.14966E+5	-2.23000E+2
5.57407E+2	6.15605E+5	6.15459E+5	1.46000E+2
5.57901E+2	6.15279E+5	6.15364E+5	-8.50000E+1
5.58394E+2	6.15105E+5	6.15061E+5	4.40000E+1
5.58888E+2	6.14632E+5	6.14566E+5	6.60000E+1
5.59381E+2	6.14860E+5	6.14622E+5	2.38000E+2
5.59875E+2	6.13952E+5	6.14135E+5	-1.83000E+2
5.60368E+2	6.13782E+5	6.13999E+5	-2.17000E+2
5.60862E+2	6.13495E+5	6.13293E+5	2.02000E+2
5.61355E+2	6.13204E+5	6.12988E+5	2.16000E+2
5.61849E+2	6.13259E+5	6.13110E+5	1.49000E+2
5.62342E+2	6.12810E+5	6.12841E+5	-3.10000E+1
5.62835E+2	6.12672E+5	6.12812E+5	-1.40000E+2
5.63329E+2	6.12489E+5	6.12647E+5	-1.58000E+2
5.63822E+2	6.12620E+5	6.12580E+5	4.00000E+1
5.64315E+2	6.12831E+5	6.12850E+5	-1.90000E+1
5.64809E+2	6.12519E+5	6.12548E+5	-2.90000E+1
5.65302E+2	6.12851E+5	6.12735E+5	1.16000E+2
5.65795E+2	6.12982E+5	6.12906E+5	7.60000E+1
5.66288E+2	6.12714E+5	6.13066E+5	-3.52000E+2
5.66781E+2	6.12899E+5	6.13002E+5	-1.03000E+2
5.67274E+2	6.13048E+5	6.12933E+5	1.15000E+2
5.67767E+2	6.13141E+5	6.13067E+5	7.40000E+1
5.68260E+2	6.12939E+5	6.13021E+5	-8.20000E+1
5.68753E+2	6.13161E+5	6.13135E+5	2.60000E+1
