LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 574.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.18333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22385E+5	6.22610E+5	-2.25000E+2
5.50494E+2	6.17783E+5	6.17622E+5	1.61000E+2
5.50988E+2	6.16373E+5	6.16366E+5	7.00000E+0
5.51482E+2	6.15687E+5	6.15495E+5	1.92000E+2
5.51976E+2	6.16529E+5	6.16338E+5	1.91000E+2
5.52470E+2	6.16212E+5	6.16118E+5	9.40000E+1
5.52963E+2	6.15725E+5	6.15696E+5	2.90000E+1
5.53457E+2	6.15105E+5	6.15047E+5	5.80000E+1
5.53951E+2	6.14688E+5	6.14991E+5	-3.03000E+2
5.54445E+2	6.15094E+5	6.14814E+5	2.80000E+2
5.54939E+2	6.14520E+5	6.14784E+5	-2.64000E+2
5.55433E+2	6.14249E+5	6.14544E+5	-2.95000E+2
5.55926E+2	6.14408E+5	6.14104E+5	3.04000E+2
5.56420E+2	6.14033E+5	6.14077E+5	-4.40000E+1
5.56914E+2	6.14698E+5	6.14374E+5	3.24000E+2
5.57407E+2	6.14660E+5	6.15257E+5	-5.97000E+2
5.57901E+2	6.15212E+5	6.15199E+5	1.30000E+1
5.58394E+2	6.14898E+5	6.14994E+5	-9.60000E+1
5.58888E+2	6.14673E+5	6.14491E+5	1.82000E+2
5.59381E+2	6.14330E+5	6.14629E+5	-2.99000E+2
5.59875E+2	6.13875E+5	6.14107E+5	-2.32000E+2
5.60368E+2	6.13922E+5	6.13936E+5	-1.40000E+1
5.60862E+2	6.13098E+5	6.13456E+5	-3.58000E+2
5.61355E+2	6.13023E+5	6.13139E+5	-1.16000E+2
5.61849E+2	6.12887E+5	6.13157E+5	-2.70000E+2
5.62342E+2	6.12590E+5	6.12537E+5	5.30000E+1
5.62835E+2	6.12725E+5	6.12486E+5	2.39000E+2
5.63329E+2	6.12398E+5	6.12205E+5	1.93000E+2
5.63822E+2	6.12471E+5	6.12402E+5	6.90000E+1
5.64315E+2	6.12553E+5	6.12670E+5	-1.17000E+2
5.64809E+2	6.12555E+5	6.12439E+5	1.16000E+2
5.65302E+2	6.12900E+5	6.12514E+5	3.86000E+2
5.65795E+2	6.12538E+5	6.12614E+5	-7.60000E+1
5.66288E+2	6.12725E+5	6.12549E+5	1.76000E+2
5.66781E+2	6.12757E+5	6.12712E+5	4.50000E+1
5.67274E+2	6.12757E+5	6.12496E+5	2.61000E+2
5.67767E+2	6.13105E+5	6.13066E+5	3.90000E+1
5.68260E+2	6.12587E+5	6.12847E+5	-2.60000E+2
5.68753E+2	6.12841E+5	6.12915E+5	-7.40000E+1
