LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 579.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22788E+5	6.22304E+5	4.84000E+2
5.50494E+2	6.17641E+5	6.17677E+5	-3.60000E+1
5.50988E+2	6.16385E+5	6.16097E+5	2.88000E+2
5.51482E+2	6.15336E+5	6.15432E+5	-9.60000E+1
5.51976E+2	6.16897E+5	6.16749E+5	1.48000E+2
5.52470E+2	6.16305E+5	6.16379E+5	-7.40000E+1
5.52963E+2	6.15725E+5	6.15506E+5	2.19000E+2
5.53457E+2	6.14988E+5	6.14948E+5	4.00000E+1
5.53951E+2	6.14792E+5	6.14910E+5	-1.18000E+2
5.54445E+2	6.15338E+5	6.15252E+5	8.60000E+1
5.54939E+2	6.14469E+5	6.14566E+5	-9.70000E+1
5.55433E+2	6.14390E+5	6.14333E+5	5.70000E+1
5.55926E+2	6.13872E+5	6.14644E+5	-7.72000E+2
5.56420E+2	6.14319E+5	6.14031E+5	2.88000E+2
5.56914E+2	6.14614E+5	6.14578E+5	3.60000E+1
5.57407E+2	6.14810E+5	6.15096E+5	-2.86000E+2
5.57901E+2	6.15111E+5	6.15576E+5	-4.65000E+2
5.58394E+2	6.15082E+5	6.14979E+5	1.03000E+2
5.58888E+2	6.14379E+5	6.14493E+5	-1.14000E+2
5.59381E+2	6.14578E+5	6.14377E+5	2.01000E+2
5.59875E+2	6.13787E+5	6.13798E+5	-1.10000E+1
5.60368E+2	6.13920E+5	6.13735E+5	1.85000E+2
5.60862E+2	6.13297E+5	6.13054E+5	2.43000E+2
5.61355E+2	6.13226E+5	6.13012E+5	2.14000E+2
5.61849E+2	6.13206E+5	6.13124E+5	8.20000E+1
5.62342E+2	6.12268E+5	6.12366E+5	-9.80000E+1
5.62835E+2	6.12699E+5	6.12886E+5	-1.87000E+2
5.63329E+2	6.12237E+5	6.12590E+5	-3.53000E+2
5.63822E+2	6.12442E+5	6.12456E+5	-1.40000E+1
5.64315E+2	6.12310E+5	6.12528E+5	-2.18000E+2
5.64809E+2	6.12197E+5	6.12398E+5	-2.01000E+2
5.65302E+2	6.12812E+5	6.12459E+5	3.53000E+2
5.65795E+2	6.12461E+5	6.12450E+5	1.10000E+1
5.66288E+2	6.12637E+5	6.13122E+5	-4.85000E+2
5.66781E+2	6.12836E+5	6.12778E+5	5.80000E+1
5.67274E+2	6.12539E+5	6.12856E+5	-3.17000E+2
5.67767E+2	6.12755E+5	6.12884E+5	-1.29000E+2
5.68260E+2	6.12799E+5	6.12790E+5	9.00000E+0
5.68753E+2	6.13007E+5	6.13044E+5	-3.70000E+1
