LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 582.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22551E+5	6.22215E+5	3.36000E+2
5.50494E+2	6.17608E+5	6.17691E+5	-8.30000E+1
5.50988E+2	6.16506E+5	6.16291E+5	2.15000E+2
5.51482E+2	6.15918E+5	6.15561E+5	3.57000E+2
5.51976E+2	6.16886E+5	6.16665E+5	2.21000E+2
5.52470E+2	6.16226E+5	6.16209E+5	1.70000E+1
5.52963E+2	6.15476E+5	6.15854E+5	-3.78000E+2
5.53457E+2	6.15026E+5	6.15554E+5	-5.28000E+2
5.53951E+2	6.21386E+5	6.22003E+5	-6.17000E+2
5.54445E+2	6.15063E+5	6.15205E+5	-1.42000E+2
5.54939E+2	6.14243E+5	6.14499E+5	-2.56000E+2
5.55433E+2	6.14404E+5	6.14617E+5	-2.13000E+2
5.55926E+2	6.14068E+5	6.14196E+5	-1.28000E+2
5.56420E+2	6.14065E+5	6.14160E+5	-9.50000E+1
5.56914E+2	6.14388E+5	6.14499E+5	-1.11000E+2
5.57407E+2	6.15005E+5	6.14874E+5	1.31000E+2
5.57901E+2	6.14987E+5	6.15052E+5	-6.50000E+1
5.58394E+2	6.15240E+5	6.14954E+5	2.86000E+2
5.58888E+2	6.14583E+5	6.14586E+5	-3.00000E+0
5.59381E+2	6.14397E+5	6.14350E+5	4.70000E+1
5.59875E+2	6.14144E+5	6.14034E+5	1.10000E+2
5.60368E+2	6.13587E+5	6.13843E+5	-2.56000E+2
5.60862E+2	6.13134E+5	6.13201E+5	-6.70000E+1
5.61355E+2	6.13323E+5	6.12809E+5	5.14000E+2
5.61849E+2	6.12860E+5	6.12853E+5	7.00000E+0
5.62342E+2	6.12404E+5	6.12486E+5	-8.20000E+1
5.62835E+2	6.12613E+5	6.12719E+5	-1.06000E+2
5.63329E+2	6.12243E+5	6.12581E+5	-3.38000E+2
5.63822E+2	6.12451E+5	6.12265E+5	1.86000E+2
5.64315E+2	6.12328E+5	6.12357E+5	-2.90000E+1
5.64809E+2	6.12200E+5	6.12107E+5	9.30000E+1
5.65302E+2	6.12422E+5	6.12587E+5	-1.65000E+2
5.65795E+2	6.12259E+5	6.12619E+5	-3.60000E+2
5.66288E+2	6.12706E+5	6.12727E+5	-2.10000E+1
5.66781E+2	6.12659E+5	6.12819E+5	-1.60000E+2
5.67274E+2	6.12540E+5	6.12542E+5	-2.00000E+0
5.67767E+2	6.12971E+5	6.12985E+5	-1.40000E+1
5.68260E+2	6.12954E+5	6.12850E+5	1.04000E+2
5.68753E+2	6.12920E+5	6.12970E+5	-5.00000E+1
