LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 578.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.18333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22372E+5	6.22420E+5	-4.80000E+1
5.50494E+2	6.17780E+5	6.17619E+5	1.61000E+2
5.50988E+2	6.16670E+5	6.16558E+5	1.12000E+2
5.51482E+2	6.15419E+5	6.15735E+5	-3.16000E+2
5.51976E+2	6.16859E+5	6.16577E+5	2.82000E+2
5.52470E+2	6.16217E+5	6.16310E+5	-9.30000E+1
5.52963E+2	6.15584E+5	6.15605E+5	-2.10000E+1
5.53457E+2	6.15170E+5	6.15301E+5	-1.31000E+2
5.53951E+2	6.14920E+5	6.15065E+5	-1.45000E+2
5.54445E+2	6.15232E+5	6.15252E+5	-2.00000E+1
5.54939E+2	6.14577E+5	6.14490E+5	8.70000E+1
5.55433E+2	6.14119E+5	6.14578E+5	-4.59000E+2
5.55926E+2	6.14123E+5	6.14123E+5	0.00000E+0
5.56420E+2	6.13897E+5	6.14296E+5	-3.99000E+2
5.56914E+2	6.14795E+5	6.14552E+5	2.43000E+2
5.57407E+2	6.14937E+5	6.15171E+5	-2.34000E+2
5.57901E+2	6.15318E+5	6.15250E+5	6.80000E+1
5.58394E+2	6.15124E+5	6.15138E+5	-1.40000E+1
5.58888E+2	6.14792E+5	6.14805E+5	-1.30000E+1
5.59381E+2	6.14524E+5	6.14660E+5	-1.36000E+2
5.59875E+2	6.14201E+5	6.14156E+5	4.50000E+1
5.60368E+2	6.13839E+5	6.13828E+5	1.10000E+1
5.60862E+2	6.13221E+5	6.13196E+5	2.50000E+1
5.61355E+2	6.13218E+5	6.13121E+5	9.70000E+1
5.61849E+2	6.13171E+5	6.13001E+5	1.70000E+2
5.62342E+2	6.12592E+5	6.12271E+5	3.21000E+2
5.62835E+2	6.12241E+5	6.12595E+5	-3.54000E+2
5.63329E+2	6.12157E+5	6.12413E+5	-2.56000E+2
5.63822E+2	6.12387E+5	6.12582E+5	-1.95000E+2
5.64315E+2	6.12395E+5	6.12447E+5	-5.20000E+1
5.64809E+2	6.12544E+5	6.12474E+5	7.00000E+1
5.65302E+2	6.12503E+5	6.12766E+5	-2.63000E+2
5.65795E+2	6.12378E+5	6.12509E+5	-1.31000E+2
5.66288E+2	6.12639E+5	6.12554E+5	8.50000E+1
5.66781E+2	6.12868E+5	6.12614E+5	2.54000E+2
5.67274E+2	6.13550E+5	6.12578E+5	9.72000E+2
5.67767E+2	6.13205E+5	6.12910E+5	2.95000E+2
5.68260E+2	6.12620E+5	6.13015E+5	-3.95000E+2
5.68753E+2	6.13096E+5	6.12989E+5	1.07000E+2
