LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 567.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.18333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22458E+5	6.22411E+5	4.70000E+1
5.50494E+2	6.18020E+5	6.17686E+5	3.34000E+2
5.50988E+2	6.16643E+5	6.16484E+5	1.59000E+2
5.51482E+2	6.15753E+5	6.15689E+5	6.40000E+1
5.51976E+2	6.16869E+5	6.16782E+5	8.70000E+1
5.52470E+2	6.16405E+5	6.16604E+5	-1.99000E+2
5.52963E+2	6.15902E+5	6.15849E+5	5.30000E+1
5.53457E+2	6.15035E+5	6.15148E+5	-1.13000E+2
5.53951E+2	6.15099E+5	6.15038E+5	6.10000E+1
5.54445E+2	6.15141E+5	6.15151E+5	-1.00000E+1
5.54939E+2	6.14731E+5	6.14683E+5	4.80000E+1
5.55433E+2	6.14656E+5	6.14580E+5	7.60000E+1
5.55926E+2	6.14463E+5	6.13897E+5	5.66000E+2
5.56420E+2	6.14333E+5	6.14394E+5	-6.10000E+1
5.56914E+2	6.14913E+5	6.14970E+5	-5.70000E+1
5.57407E+2	6.15238E+5	6.15295E+5	-5.70000E+1
5.57901E+2	6.15064E+5	6.15498E+5	-4.34000E+2
5.58394E+2	6.14990E+5	6.14996E+5	-6.00000E+0
5.58888E+2	6.14553E+5	6.14719E+5	-1.66000E+2
5.59381E+2	6.14523E+5	6.14667E+5	-1.44000E+2
5.59875E+2	6.14155E+5	6.14047E+5	1.08000E+2
5.60368E+2	6.13789E+5	6.14012E+5	-2.23000E+2
5.60862E+2	6.13003E+5	6.13181E+5	-1.78000E+2
5.61355E+2	6.13091E+5	6.13225E+5	-1.34000E+2
5.61849E+2	6.13137E+5	6.13031E+5	1.06000E+2
5.62342E+2	6.12713E+5	6.12778E+5	-6.50000E+1
5.62835E+2	6.12798E+5	6.12665E+5	1.33000E+2
5.63329E+2	6.12317E+5	6.12503E+5	-1.86000E+2
5.63822E+2	6.12426E+5	6.12371E+5	5.50000E+1
5.64315E+2	6.12474E+5	6.12382E+5	9.20000E+1
5.64809E+2	6.12662E+5	6.12478E+5	1.84000E+2
5.65302E+2	6.12969E+5	6.12703E+5	2.66000E+2
5.65795E+2	6.12808E+5	6.12765E+5	4.30000E+1
5.66288E+2	6.12977E+5	6.13084E+5	-1.07000E+2
5.66781E+2	6.12855E+5	6.12861E+5	-6.00000E+0
5.67274E+2	6.12825E+5	6.12690E+5	1.35000E+2
5.67767E+2	6.13428E+5	6.13522E+5	-9.40000E+1
5.68260E+2	6.12940E+5	6.13020E+5	-8.00000E+1
5.68753E+2	6.13163E+5	6.13103E+5	6.00000E+1
