LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 576.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22590E+5	6.22258E+5	3.32000E+2
5.50494E+2	6.17870E+5	6.17780E+5	9.00000E+1
5.50988E+2	6.16698E+5	6.16224E+5	4.74000E+2
5.51482E+2	6.15602E+5	6.15673E+5	-7.10000E+1
5.51976E+2	6.16887E+5	6.16634E+5	2.53000E+2
5.52470E+2	6.16346E+5	6.16163E+5	1.83000E+2
5.52963E+2	6.15431E+5	6.15773E+5	-3.42000E+2
5.53457E+2	6.15030E+5	6.15306E+5	-2.76000E+2
5.53951E+2	6.14917E+5	6.15036E+5	-1.19000E+2
5.54445E+2	6.15059E+5	6.15094E+5	-3.50000E+1
5.54939E+2	6.14350E+5	6.14172E+5	1.78000E+2
5.55433E+2	6.14607E+5	6.14380E+5	2.27000E+2
5.55926E+2	6.14163E+5	6.14058E+5	1.05000E+2
5.56420E+2	6.14205E+5	6.14269E+5	-6.40000E+1
5.56914E+2	6.14651E+5	6.14402E+5	2.49000E+2
5.57407E+2	6.14867E+5	6.14955E+5	-8.80000E+1
5.57901E+2	6.15177E+5	6.15203E+5	-2.60000E+1
5.58394E+2	6.15100E+5	6.14762E+5	3.38000E+2
5.58888E+2	6.14661E+5	6.14620E+5	4.10000E+1
5.59381E+2	6.14448E+5	6.14658E+5	-2.10000E+2
5.59875E+2	6.14081E+5	6.13755E+5	3.26000E+2
5.60368E+2	6.13830E+5	6.13574E+5	2.56000E+2
5.60862E+2	6.13423E+5	6.13417E+5	6.00000E+0
5.61355E+2	6.13260E+5	6.12887E+5	3.73000E+2
5.61849E+2	6.12491E+5	6.13020E+5	-5.29000E+2
5.62342E+2	6.12561E+5	6.12533E+5	2.80000E+1
5.62835E+2	6.12562E+5	6.12872E+5	-3.10000E+2
5.63329E+2	6.12441E+5	6.12086E+5	3.55000E+2
5.63822E+2	6.12556E+5	6.12572E+5	-1.60000E+1
5.64315E+2	6.12541E+5	6.12676E+5	-1.35000E+2
5.64809E+2	6.12347E+5	6.12478E+5	-1.31000E+2
5.65302E+2	6.12613E+5	6.12661E+5	-4.80000E+1
5.65795E+2	6.12629E+5	6.12741E+5	-1.12000E+2
5.66288E+2	6.12685E+5	6.12691E+5	-6.00000E+0
5.66781E+2	6.12996E+5	6.12758E+5	2.38000E+2
5.67274E+2	6.12830E+5	6.12602E+5	2.28000E+2
5.67767E+2	6.13192E+5	6.12982E+5	2.10000E+2
5.68260E+2	6.12819E+5	6.12907E+5	-8.80000E+1
5.68753E+2	6.13179E+5	6.13037E+5	1.42000E+2
