LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 561.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 1.4
Pictures taken: 800
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	4.14796E+5	4.14980E+5	-1.84000E+2
5.50494E+2	4.11469E+5	4.11663E+5	-1.94000E+2
5.50988E+2	4.10825E+5	4.10817E+5	8.00000E+0
5.51482E+2	4.10159E+5	4.10282E+5	-1.23000E+2
5.51976E+2	4.10820E+5	4.10917E+5	-9.70000E+1
5.52470E+2	4.10527E+5	4.10700E+5	-1.73000E+2
5.52963E+2	4.10360E+5	4.10166E+5	1.94000E+2
5.53457E+2	4.09927E+5	4.09921E+5	6.00000E+0
5.53951E+2	4.09852E+5	4.09851E+5	1.00000E+0
5.54445E+2	4.09632E+5	4.09710E+5	-7.80000E+1
5.54939E+2	4.09679E+5	4.09328E+5	3.51000E+2
5.55433E+2	4.09566E+5	4.09420E+5	1.46000E+2
5.55926E+2	4.09159E+5	4.08977E+5	1.82000E+2
5.56420E+2	4.09253E+5	4.09254E+5	-1.00000E+0
5.56914E+2	4.09561E+5	4.09592E+5	-3.10000E+1
5.57407E+2	4.09905E+5	4.09803E+5	1.02000E+2
5.57901E+2	4.09920E+5	4.10025E+5	-1.05000E+2
5.58394E+2	4.09679E+5	4.09680E+5	-1.00000E+0
5.58888E+2	4.09689E+5	4.09502E+5	1.87000E+2
5.59381E+2	4.09358E+5	4.09732E+5	-3.74000E+2
5.59875E+2	4.09166E+5	4.09119E+5	4.70000E+1
5.60368E+2	4.08986E+5	4.09044E+5	-5.80000E+1
5.60862E+2	4.08528E+5	4.08576E+5	-4.80000E+1
5.61355E+2	4.08606E+5	4.08566E+5	4.00000E+1
5.61849E+2	4.08546E+5	4.08625E+5	-7.90000E+1
5.62342E+2	4.08143E+5	4.08143E+5	0.00000E+0
5.62835E+2	4.08329E+5	4.08247E+5	8.20000E+1
5.63329E+2	4.08043E+5	4.08083E+5	-4.00000E+1
5.63822E+2	4.08175E+5	4.08329E+5	-1.54000E+2
5.64315E+2	4.08326E+5	4.08061E+5	2.65000E+2
5.64809E+2	4.08094E+5	4.08265E+5	-1.71000E+2
5.65302E+2	4.08036E+5	4.08160E+5	-1.24000E+2
5.65795E+2	4.08245E+5	4.08135E+5	1.10000E+2
5.66288E+2	4.08244E+5	4.08216E+5	2.80000E+1
5.66781E+2	4.08457E+5	4.08145E+5	3.12000E+2
5.67274E+2	4.08425E+5	4.08150E+5	2.75000E+2
5.67767E+2	4.08626E+5	4.08582E+5	4.40000E+1
5.68260E+2	4.08268E+5	4.08382E+5	-1.14000E+2
5.68753E+2	4.08263E+5	4.08354E+5	-9.10000E+1
