LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 561.0 nm
Laser filter OD: 0.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 86.3667
Pictures taken: 42200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	2.18929E+7	2.18928E+7	9.50000E+1
5.50494E+2	2.17320E+7	2.17299E+7	2.01800E+3
5.50988E+2	2.16867E+7	2.16861E+7	6.24000E+2
5.51482E+2	2.16530E+7	2.16521E+7	9.07000E+2
5.51976E+2	2.16882E+7	2.16894E+7	-1.23300E+3
5.52470E+2	2.16789E+7	2.16778E+7	1.17900E+3
5.52963E+2	2.16607E+7	2.16570E+7	3.69300E+3
5.53457E+2	2.16354E+7	2.16366E+7	-1.23500E+3
5.53951E+2	2.16300E+7	2.16296E+7	4.57000E+2
5.54445E+2	2.16365E+7	2.16348E+7	1.76400E+3
5.54939E+2	2.16170E+7	2.16147E+7	2.24900E+3
5.55433E+2	2.16157E+7	2.16146E+7	1.05700E+3
5.55926E+2	2.16016E+7	2.16045E+7	-2.97800E+3
5.56420E+2	2.16025E+7	2.16017E+7	8.38000E+2
5.56914E+2	2.16187E+7	2.16169E+7	1.77000E+3
5.57407E+2	2.16334E+7	2.16345E+7	-1.02300E+3
5.57901E+2	2.16363E+7	2.16383E+7	-1.99800E+3
5.58394E+2	2.16324E+7	2.16381E+7	-5.67500E+3
5.58888E+2	2.16183E+7	2.16205E+7	-2.16800E+3
5.59381E+2	2.16127E+7	2.16125E+7	2.00000E+2
5.59875E+2	2.15910E+7	2.15954E+7	-4.45500E+3
5.60368E+2	2.15869E+7	2.15896E+7	-2.66600E+3
5.60862E+2	2.15705E+7	2.15683E+7	2.15200E+3
5.61355E+2	2.15624E+7	2.15620E+7	3.87000E+2
5.61849E+2	2.15581E+7	2.15583E+7	-1.94000E+2
5.62342E+2	2.15457E+7	2.15455E+7	1.56000E+2
5.62835E+2	2.15458E+7	2.15451E+7	6.88000E+2
5.63329E+2	2.15392E+7	2.15393E+7	-1.51000E+2
5.63822E+2	2.15406E+7	2.15393E+7	1.36100E+3
5.64315E+2	2.15437E+7	2.15433E+7	4.70000E+2
5.64809E+2	2.15391E+7	2.15388E+7	2.90000E+2
5.65302E+2	2.15453E+7	2.15469E+7	-1.51100E+3
5.65795E+2	2.15487E+7	2.15430E+7	5.68300E+3
5.66288E+2	2.15599E+7	2.15509E+7	9.07000E+3
5.66781E+2	2.15552E+7	2.15521E+7	3.00400E+3
5.67274E+2	2.15491E+7	2.15527E+7	-3.52100E+3
5.67767E+2	2.15599E+7	2.15616E+7	-1.69000E+3
5.68260E+2	2.15547E+7	2.15523E+7	2.32000E+3
5.68753E+2	2.15618E+7	2.15615E+7	2.95000E+2
