samples/step: 900
Wavelength (nm)	Power (mW)
440.000000	0.525037
441.000000	0.521105
442.000000	0.549613
443.000000	0.526606
444.000000	0.552494
445.000000	0.551443
446.000000	0.549611
447.000000	0.504178
448.000000	0.427462
449.000000	0.553624
450.000000	0.645978
451.000000	0.604492
452.000000	0.596168
453.000000	0.560180
454.000000	0.637258
455.000000	0.633056
456.000000	0.636591
457.000000	0.668552
458.000000	0.656668
459.000000	0.647200
460.000000	0.649414
461.000000	0.664891
462.000000	0.693805
463.000000	0.742062
464.000000	0.729201
465.000000	0.745120
466.000000	0.708562
467.000000	0.761757
468.000000	0.801804
469.000000	0.751181
470.000000	0.804431
471.000000	0.806771
472.000000	0.762705
473.000000	0.771777
474.000000	0.883749
475.000000	0.883672
476.000000	0.898423
477.000000	0.932002
478.000000	0.905117
479.000000	0.887830
480.000000	0.913567
481.000000	0.949678
482.000000	0.942376
483.000000	0.868021
484.000000	0.874733
485.000000	0.828040
486.000000	0.895385
487.000000	0.855376
488.000000	0.763863
489.000000	0.827475
490.000000	0.791948
491.000000	0.800270
492.000000	0.762772
493.000000	0.796720
494.000000	0.792777
495.000000	0.737908
496.000000	0.719557
497.000000	0.717349
498.000000	0.694529
499.000000	0.681365
500.000000	0.719208
501.000000	0.637129
502.000000	0.684854
503.000000	0.739723
504.000000	0.651433
505.000000	0.635117
506.000000	0.528597
507.000000	0.629301
508.000000	0.583015
509.000000	0.694395
510.000000	0.639575
511.000000	0.700288
512.000000	0.651183
513.000000	0.716842
514.000000	0.672724
515.000000	0.695202
516.000000	0.732855
517.000000	0.675728
518.000000	0.741286
519.000000	0.705124
520.000000	0.706343
521.000000	0.676018
522.000000	0.667673
523.000000	0.706808
524.000000	0.605950
525.000000	0.647767
526.000000	0.742706
527.000000	0.632077
528.000000	0.610039
529.000000	0.511284
530.000000	0.507283
531.000000	0.655873
532.000000	0.670348
533.000000	0.559513
534.000000	0.567287
535.000000	0.544563
536.000000	0.521013
537.000000	0.516056
538.000000	0.522670
539.000000	0.545285
540.000000	0.528960
541.000000	0.514515
542.000000	0.481782
543.000000	0.482436
544.000000	0.525641
545.000000	0.515920
546.000000	0.488032
547.000000	0.462887
548.000000	0.468658
549.000000	0.533122
550.000000	0.466112
551.000000	0.568924
552.000000	0.456045
553.000000	0.516529
554.000000	0.499772
555.000000	0.434999
556.000000	0.430239
557.000000	0.530319
558.000000	0.440164
559.000000	0.530266
560.000000	0.439837
561.000000	0.499768
562.000000	0.500585
563.000000	0.413822
564.000000	0.419197
565.000000	0.476805
566.000000	0.486656
567.000000	0.415344
568.000000	0.490340
569.000000	0.417173
570.000000	0.461969
571.000000	0.403781
572.000000	0.390193
573.000000	0.402411
574.000000	0.413034
575.000000	0.411351
576.000000	0.412832
577.000000	0.420864
578.000000	0.368432
579.000000	0.430649
580.000000	0.382446
581.000000	0.320885
582.000000	0.325501
583.000000	0.347947
584.000000	0.310441
585.000000	0.341717
586.000000	0.286133
587.000000	0.266982
588.000000	0.264558
589.000000	0.261952
590.000000	0.263728
591.000000	0.354550
592.000000	0.277451
593.000000	0.250842
594.000000	0.231447
595.000000	0.240221
596.000000	0.268698
597.000000	0.265226
598.000000	0.206657
599.000000	0.172416
600.000000	0.209119
